NAME,SMILES,TARGET_NAME,TARGET_CLASS,ACCESSION,GENE,SWISSPROT,ACT_VALUE,ACT_TYPE,TDL
mepenzolate,C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,Muscarinic acetylcholine receptor M3,GPCR,P20309,CHRM3,ACM3_HUMAN,8.59,Ki,Tclin
mepyramine,COC1=CC=C(CN(CCN(C)C)C2=CC=CC=N2)C=C1,Sigma non-opioid intracellular receptor 1,Membrane receptor,Q99720,SIGMAR1,SGMR1_HUMAN,6.1837587,Ki,Tclin
mepyramine,COC1=CC=C(CN(CCN(C)C)C2=CC=CC=N2)C=C1,Sodium-dependent dopamine transporter,Transporter,Q01959,SLC6A3,SC6A3_HUMAN,6.155522824,Ki,Tclin
mequitazine,C(C1CN2CCC1CC2)N1C2=CC=CC=C2SC2=CC=CC=C12,Muscarinic acetylcholine receptor M3,GPCR,P20309,CHRM3,ACM3_HUMAN,8.27572413,Ki,Tclin
mesoridazine,CN1CCCCC1CCN1C2=CC=CC=C2SC2=C1C=C(C=C2)S(C)=O,Muscarinic acetylcholine receptor M3,GPCR,P20309,CHRM3,ACM3_HUMAN,7.045757294,Ki,Tclin
mestranol,COC1=CC2=C(C=C1)[C@H]1CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@@H]1CC2,Estrogen receptor,Nuclear hormone receptor,P03372,ESR1,ESR1_HUMAN,8.282329497,Ki,Tclin
metergoline,CN1C=C2C[C@@H]3[C@H](C[C@@H](CNC(=O)OCC4=CC=CC=C4)CN3C)C3=CC=CC1=C23,Sodium-dependent dopamine transporter,Transporter,Q01959,SLC6A3,SC6A3_HUMAN,7.301029996,Ki,Tclin
methamphetamine,CN[C@@H](C)CC1=CC=CC=C1,Sodium-dependent dopamine transporter,Transporter,Q01959,SLC6A3,SC6A3_HUMAN,7.610834122,Ki,Tclin
methazolamide,CN1N=C(SC1=NC(C)=O)S(N)(=O)=O,Carbonic anhydrase 2,Enzyme,P00918,CA2,CAH2_HUMAN,8.05,Ki,Tclin
methazolamide,CN1N=C(SC1=NC(C)=O)S(N)(=O)=O,Carbonic anhydrase 4,Enzyme,P22748,CA4,CAH4_HUMAN,6.62,Ki,Tclin
methscopolamine,C[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,Muscarinic acetylcholine receptor M3,GPCR,P20309,CHRM3,ACM3_HUMAN,10.4,Ki,Tclin
methylphenidate,COC(=O)C(C1CCCCN1)C1=CC=CC=C1,Sodium-dependent dopamine transporter,Transporter,Q01959,SLC6A3,SC6A3_HUMAN,6.96,Ki,Tclin
methylprednisolone,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,Glucocorticoid receptor,Nuclear hormone receptor,P04150,NR3C1,GCR_HUMAN,8.5,EC50,Tclin
methyltestosterone,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,Androgen receptor,Nuclear hormone receptor,P10275,AR,ANDR_HUMAN,9.66,EC50,Tclin
methyltestosterone,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,Glucocorticoid receptor,Nuclear hormone receptor,P04150,NR3C1,GCR_HUMAN,6.076755981,Ki,Tclin
methysergide,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2CC3=CN(C)C4=CC=CC(=C34)C2=C1,Sigma non-opioid intracellular receptor 1,Membrane receptor,Q99720,SIGMAR1,SGMR1_HUMAN,6.04,IC50,Tclin
metyrapone,CC(C)(C(=O)C1=CN=CC=C1)C1=CN=CC=C1,"Cytochrome P450 11B1, mitochondrial",Enzyme,P15538,CYP11B1,C11B1_HUMAN,7.84,IC50,Tclin
metyrapone,CC(C)(C(=O)C1=CN=CC=C1)C1=CN=CC=C1,Cytochrome P450 3A4,Enzyme,P08684,CYP3A4,CP3A4_HUMAN,6.096910013,IC50,Tclin
mianserin,CN1CCN2C(C1)C1=C(CC3=C2C=CC=C3)C=CC=C1,Muscarinic acetylcholine receptor M3,GPCR,P20309,CHRM3,ACM3_HUMAN,6.525783736,Ki,Tclin
mibefradil,COCC(=O)O[C@]1(CCN(C)CCCC2=NC3=C(N2)C=CC=C3)CCC2=CC(F)=CC=C2[C@@H]1C(C)C,Cytochrome P450 3A4,Enzyme,P08684,CYP3A4,CP3A4_HUMAN,6.22,Ki,Tclin
mibefradil,COCC(=O)O[C@]1(CCN(C)CCCC2=NC3=C(N2)C=CC=C3)CCC2=CC(F)=CC=C2[C@@H]1C(C)C,Voltage-dependent T-type calcium channel subunit alpha-1G,Ion channel,O43497,CACNA1G,CAC1G_HUMAN,6.7,IC50,Tclin
miconazole,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,Aromatase,Enzyme,P11511,CYP19A1,CP19A_HUMAN,6.22,IC50,Tclin
miconazole,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,Cytochrome P450 3A4,Enzyme,P08684,CYP3A4,CP3A4_HUMAN,7,IC50,Tclin
miconazole,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,Muscarinic acetylcholine receptor M3,GPCR,P20309,CHRM3,ACM3_HUMAN,6.175223538,Ki,Tclin
miconazole,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,"Steroid 17-alpha-hydroxylase/17,20 lyase",Enzyme,P05093,CYP17A1,CP17A_HUMAN,6.61,Ki,Tclin
miconazole,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,Thromboxane-A synthase,Enzyme,P24557,TBXAS1,THAS_HUMAN,6.580044252,IC50,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Aurora kinase A,Kinase,O14965,AURKA,AURKA_HUMAN,7.1,IC50,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Aurora kinase C,Kinase,Q9UQB9,AURKC,AURKC_HUMAN,6.77,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,BDNF/NT-3 growth factors receptor,Kinase,Q16620,NTRK2,NTRK2_HUMAN,6.51,Kd,Tclin
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Calcium/calmodulin-dependent protein kinase type II subunit gamma,Kinase,Q13555,CAMK2G,KCC2G_HUMAN,6.85,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Casein kinase II subunit alpha,Kinase,P68400,CSNK2A1,CSK21_HUMAN,6.6,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,Kinase,Q13627,DYRK1A,DYR1A_HUMAN,7,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Eukaryotic translation initiation factor 2-alpha kinase 4,Kinase,Q9P2K8,EIF2AK4,E2AK4_HUMAN,7.41,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Hepatocyte growth factor receptor,Kinase,P08581,MET,MET_HUMAN,6.25,Kd,Tclin
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,High affinity nerve growth factor receptor,Kinase,P04629,NTRK1,NTRK1_HUMAN,6.42,Kd,Tclin
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Leucine-rich repeat serine/threonine-protein kinase 2,Kinase,Q5S007,LRRK2,LRRK2_HUMAN,6.75,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Macrophage colony-stimulating factor 1 receptor,Kinase,P07333,CSF1R,CSF1R_HUMAN,6.85,IC50,Tclin
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Mast/stem cell growth factor receptor Kit,Kinase,P10721,KIT,KIT_HUMAN,8.11,Kd,Tclin
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Mitogen-activated protein kinase kinase kinase 7,Kinase,O43318,MAP3K7,M3K7_HUMAN,6.89,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,"Myosin light chain kinase, smooth muscle",Kinase,Q15746,MYLK,MYLK_HUMAN,6.66,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,NUAK family SNF1-like kinase 2,Kinase,Q9H093,NUAK2,NUAK2_HUMAN,7.2,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform",Kinase,P15735,PHKG2,PHKG2_HUMAN,6.05,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Platelet-derived growth factor receptor beta,Kinase,P09619,PDGFRB,PGFRB_HUMAN,6.96,Kd,Tclin
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Protein kinase C delta type,Kinase,Q05655,PRKCD,KPCD_HUMAN,6.5,Kd,Tclin
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Proto-oncogene tyrosine-protein kinase receptor Ret,Kinase,P07949,RET,RET_HUMAN,7.7,Kd,Tclin
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,RAC-alpha serine/threonine-protein kinase,Kinase,P31749,AKT1,AKT1_HUMAN,6.02,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,RAC-beta serine/threonine-protein kinase,Kinase,P31751,AKT2,AKT2_HUMAN,6.11,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Ribosomal protein S6 kinase alpha-3,Kinase,P51812,RPS6KA3,KS6A3_HUMAN,6.13,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Serine/threonine-protein kinase 4,Kinase,Q13043,STK4,STK4_HUMAN,7.77,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Serine/threonine-protein kinase PAK 3,Kinase,O75914,PAK3,PAK3_HUMAN,6.75,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Serine/threonine-protein kinase PLK4,Kinase,O00444,PLK4,PLK4_HUMAN,7.18,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Serine/threonine-protein kinase SIK1,Kinase,P57059,SIK1,SIK1_HUMAN,6.8,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Serine/threonine-protein kinase SIK3,Kinase,Q9Y2K2,SIK3,SIK3_HUMAN,7.01,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Serine/threonine-protein kinase STK11,Kinase,Q15831,STK11,STK11_HUMAN,6.46,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Tyrosine-protein kinase ABL1,Kinase,P00519,ABL1,ABL1_HUMAN,6.1,Kd,Tclin
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Tyrosine-protein kinase JAK3,Kinase,P52333,JAK3,JAK3_HUMAN,7.92,Kd,Tclin
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Tyrosine-protein kinase receptor UFO,Kinase,P30530,AXL,UFO_HUMAN,6.21,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,U4/U6 small nuclear ribonucleoprotein Prp4,Unclassified,O43172,PRPF4,PRP4_HUMAN,7.26,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Vascular endothelial growth factor receptor 1,Kinase,P17948,FLT1,VGFR1_HUMAN,6.35,Kd,Tclin
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Vascular endothelial growth factor receptor 2,Kinase,P35968,KDR,VGFR2_HUMAN,6.6,IC50,Tclin
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,Vascular endothelial growth factor receptor 3,Kinase,P35916,FLT4,VGFR3_HUMAN,6.17,Kd,Tclin
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,cAMP-dependent protein kinase catalytic subunit alpha,Kinase,P17612,PRKACA,KAPCA_HUMAN,6.14,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,cAMP-dependent protein kinase catalytic subunit beta,Kinase,P22694,PRKACB,KAPCB_HUMAN,6.62,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,cGMP-dependent protein kinase 1,Kinase,Q13976,PRKG1,KGP1_HUMAN,6.6,Kd,Tchem
midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,cGMP-dependent protein kinase 2,Kinase,Q13237,PRKG2,KGP2_HUMAN,7.13,Kd,Tchem
mifepristone,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)C1=CC=C(C=C1)N(C)C,Androgen receptor,Nuclear hormone receptor,P10275,AR,ANDR_HUMAN,8.33,Ki,Tclin
mifepristone,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)C1=CC=C(C=C1)N(C)C,Cytochrome P450 3A4,Enzyme,P08684,CYP3A4,CP3A4_HUMAN,6.64,Ki,Tclin
mifepristone,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)C1=CC=C(C=C1)N(C)C,Glucocorticoid receptor,Nuclear hormone receptor,P04150,NR3C1,GCR_HUMAN,9,IC50,Tclin
mifepristone,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)C1=CC=C(C=C1)N(C)C,Progesterone receptor,Nuclear hormone receptor,P06401,PGR,PRGR_HUMAN,8.74,Ki,Tclin
migalastat,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,Alpha-galactosidase A,Enzyme,P06280,GLA,AGAL_HUMAN,7.150000095,IC50,Tclin
miglustat,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,Non-lysosomal glucosylceramidase,Enzyme,Q9HCG7,GBA2,GBA2_HUMAN,6.64,IC50,Tchem
milrinone,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",Enzyme,Q14432,PDE3A,PDE3A_HUMAN,6.36,IC50,Tclin
minoxidil,NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1,ATP-sensitive inward rectifier potassium channel 1,Ion channel,P48048,KCNJ1,KCNJ1_HUMAN,6.97,IC50,Tchem
mitotane,ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=C(Cl)C=CC=C1,Sodium-dependent dopamine transporter,Transporter,Q01959,SLC6A3,SC6A3_HUMAN,6.099632871,Ki,Tclin
moexipril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC(OC)=C(OC)C=C2C[C@H]1C(O)=O,Angiotensin-converting enzyme,Enzyme,P12821,ACE,ACE_HUMAN,8.59,IC50,Tclin
molindone,CCC1=C(C)NC2=C1C(=O)C(CN1CCOCC1)CC2,Sigma non-opioid intracellular receptor 1,Membrane receptor,Q99720,SIGMAR1,SGMR1_HUMAN,6.9066,Ki,Tclin
mometasone furoate,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)C1=CC=CO1)C(=O)CCl,Progesterone receptor,Nuclear hormone receptor,P06401,PGR,PRGR_HUMAN,9.9,EC50,Tclin
mosapride,CCOC1=C(C=C(Cl)C(N)=C1)C(=O)NCC1CN(CC2=CC=C(F)C=C2)CCO1,Cytochrome P450 3A4,Enzyme,P08684,CYP3A4,CP3A4_HUMAN,6.15490196,IC50,Tclin
mosapride,CCOC1=C(C=C(Cl)C(N)=C1)C(=O)NCC1CN(CC2=CC=C(F)C=C2)CCO1,Sigma non-opioid intracellular receptor 1,Membrane receptor,Q99720,SIGMAR1,SGMR1_HUMAN,6.891434976,Ki,Tclin
mycophenolate mofetil,COC1=C(C)C2=C(C(=O)OC2)C(O)=C1C\C=C(/C)CCC(=O)OCCN1CCOCC1,Inosine-5'-monophosphate dehydrogenase 1,Enzyme,P20839,IMPDH1,IMDH1_HUMAN,7.481485844,Ki,Tclin
mycophenolic acid,COC1=C(C\C=C(/C)CCC(O)=O)C(O)=C2C(=O)OCC2=C1C,Inosine-5'-monophosphate dehydrogenase 1,Enzyme,P20839,IMPDH1,IMDH1_HUMAN,7.48,Ki,Tclin
nafamostat,NC(=N)NC1=CC=C(C=C1)C(=O)OC1=CC=C2C=C(C=CC2=C1)C(N)=N,Plasminogen,Enzyme,P00747,PLG,PLMN_HUMAN,6.62,IC50,Tclin
nafamostat,NC(=N)NC1=CC=C(C=C1)C(=O)OC1=CC=C2C=C(C=CC2=C1)C(N)=N,Prothrombin,Enzyme,P00734,F2,THRB_HUMAN,6.54,IC50,Tclin
nafarelin,CC(C)C[C@H](NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,Gonadotropin-releasing hormone receptor,GPCR,P30968,GNRHR,GNRHR_HUMAN,9.699,Kd,Tclin
naftifine,CN(C\C=C\C1=CC=CC=C1)CC1=CC=CC2=CC=CC=C12,Sigma non-opioid intracellular receptor 1,Membrane receptor,Q99720,SIGMAR1,SGMR1_HUMAN,6.06,Ki,Tclin
nalorphine,O[C@H]1C=C[C@H]2[C@H]3CC4=CC=C(O)C5=C4[C@@]2(CCN3CC=C)[C@H]1O5,Sigma non-opioid intracellular receptor 1,Membrane receptor,Q99720,SIGMAR1,SGMR1_HUMAN,7.32,IC50,Tclin
nandrolone phenpropionate,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@H]2OC(=O)CCC1=CC=CC=C1,Androgen receptor,Nuclear hormone receptor,P10275,AR,ANDR_HUMAN,9.5,EC50,Tclin
nandrolone phenpropionate,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@H]2OC(=O)CCC1=CC=CC=C1,Estrogen receptor,Nuclear hormone receptor,P03372,ESR1,ESR1_HUMAN,6.7,EC50,Tclin
nedocromil,CCCC1=C2N(CC)C(=CC(=O)C2=CC2=C1OC(=CC2=O)C(O)=O)C(O)=O,G-protein coupled receptor 35,GPCR,Q9HC97,GPR35,GPR35_HUMAN,6.013228416,EC50,Tchem
nefazodone,CCC1=NN(CCCN2CCN(CC2)C2=CC(Cl)=CC=C2)C(=O)N1CCOC1=CC=CC=C1,Sodium-dependent dopamine transporter,Transporter,Q01959,SLC6A3,SC6A3_HUMAN,6.4437,Kd,Tclin
nefopam,CN1CCOC(C2=CC=CC=C2)C2=CC=CC=C2C1,Sodium-dependent dopamine transporter,Transporter,Q01959,SLC6A3,SC6A3_HUMAN,6.274905479,Ki,Tclin
nepinalone,CC1(CCN2CCCCC2)C(=O)CCC2=CC=CC=C12,Sigma non-opioid intracellular receptor 1,Membrane receptor,Q99720,SIGMAR1,SGMR1_HUMAN,7.522878647,Ki,Tclin
neratinib,CCOC1=CC2=NC=C(C#N)C(NC3=CC=C(OCC4=CC=CC=N4)C(Cl)=C3)=C2C=C1NC(=O)\C=C\CN(C)C,Dual specificity mitogen-activated protein kinase kinase 1,Kinase,Q02750,MAP2K1,MP2K1_HUMAN,7.85,Kd,Tclin
neratinib,CCOC1=CC2=NC=C(C#N)C(NC3=CC=C(OCC4=CC=CC=N4)C(Cl)=C3)=C2C=C1NC(=O)\C=C\CN(C)C,Dual specificity mitogen-activated protein kinase kinase 2,Kinase,P36507,MAP2K2,MP2K2_HUMAN,7.59,Kd,Tclin
neratinib,CCOC1=CC2=NC=C(C#N)C(NC3=CC=C(OCC4=CC=CC=N4)C(Cl)=C3)=C2C=C1NC(=O)\C=C\CN(C)C,Eukaryotic translation initiation factor 2-alpha kinase 4,Kinase,Q9P2K8,EIF2AK4,E2AK4_HUMAN,7.02,Kd,Tchem
neratinib,CCOC1=CC2=NC=C(C#N)C(NC3=CC=C(OCC4=CC=CC=N4)C(Cl)=C3)=C2C=C1NC(=O)\C=C\CN(C)C,Macrophage colony-stimulating factor 1 receptor,Kinase,P07333,CSF1R,CSF1R_HUMAN,6.17,Kd,Tclin
neratinib,CCOC1=CC2=NC=C(C#N)C(NC3=CC=C(OCC4=CC=CC=N4)C(Cl)=C3)=C2C=C1NC(=O)\C=C\CN(C)C,NUAK family SNF1-like kinase 2,Kinase,Q9H093,NUAK2,NUAK2_HUMAN,6.85,Kd,Tchem
neratinib,CCOC1=CC2=NC=C(C#N)C(NC3=CC=C(OCC4=CC=CC=N4)C(Cl)=C3)=C2C=C1NC(=O)\C=C\CN(C)C,Receptor tyrosine-protein kinase erbB-2,Kinase,P04626,ERBB2,ERBB2_HUMAN,7.229147911,IC50,Tclin
neratinib,CCOC1=CC2=NC=C(C#N)C(NC3=CC=C(OCC4=CC=CC=N4)C(Cl)=C3)=C2C=C1NC(=O)\C=C\CN(C)C,Receptor tyrosine-protein kinase erbB-3,Kinase,P21860,ERBB3,ERBB3_HUMAN,8.11,Kd,Tchem
